"label","weight","calories","protein","carbohydrates","fats","fiber","sugars","sodium"
"apple_pie","80","240","2","36","10","2","16","120"
"apple_pie","100","300","3","45","12","2","20","150"
"apple_pie","120","360","4","54","14","3","24","180"
"apple_pie","150","450","5","68","18","3","30","225"
"apple_pie","200","600","6","90","24","4","40","300"
"baby_back_ribs","150","540","38","15","33","1","12","720"
"baby_back_ribs","200","720","50","20","44","2","16","960"
"baby_back_ribs","250","900","63","25","55","2","20","1200"
"baby_back_ribs","300","1080","75","30","66","3","24","1440"
"baby_back_ribs","350","1260","88","35","77","3","28","1680"
"baklava","50","165","3","20","8","1","13","60"
"baklava","70","231","4","28","11","1","18","84"
"baklava","100","330","6","40","16","2","25","120"
"baklava","120","396","7","48","19","2","30","144"
"baklava","150","495","9","60","24","3","38","180"
"beef_carpaccio","100","200","20","1","12","0","0","300"
"beef_carpaccio","150","300","30","2","18","0","0","450"
"beef_carpaccio","200","400","40","3","24","0","0","600"
"beef_carpaccio","250","500","50","4","30","0","0","750"
"beef_carpaccio","300","600","60","5","36","0","0","900"
"beef_tartare","100","250","25","2","15","0","1","400"
"beef_tartare","150","375","38","3","23","0","2","600"
"beef_tartare","200","500","50","4","30","0","3","800"
"beef_tartare","250","625","63","5","38","0","4","1000"
"beef_tartare","300","750","75","6","45","0","5","1200"
"beet_salad","100","80","3","12","2","3","8","150"
"beet_salad","150","120","5","18","3","5","12","225"
"beet_salad","200","160","6","24","4","6","16","300"
"beet_salad","250","200","8","30","5","8","20","375"
"beet_salad","300","240","10","36","6","9","24","450"
"beignets","50","200","3","25","10","1","12","100"
"beignets","70","280","4","35","14","1","17","140"
"beignets","100","400","6","50","20","2","24","200"
"beignets","120","480","7","60","24","2","29","240"
"beignets","150","600","9","75","30","3","36","300"
"bibimbap","300","450","15","60","12","5","10","800"
"bibimbap","400","600","20","80","16","7","13","1067"
"bibimbap","500","750","25","100","20","8","17","1333"
"bibimbap","600","900","30","120","24","10","20","1600"
"bibimbap","700","1050","35","140","28","12","23","1867"
"bread_pudding","100","250","6","35","10","2","20","200"
"bread_pudding","150","375","9","53","15","3","30","300"
"bread_pudding","200","500","12","70","20","4","40","400"
"bread_pudding","250","625","15","88","25","5","50","500"
"bread_pudding","300","750","18","105","30","6","60","600"
"breakfast_burrito","200","400","20","40","15","5","5","600"
"breakfast_burrito","250","500","25","50","19","6","6","750"
"breakfast_burrito","300","600","30","60","23","7","7","900"
"breakfast_burrito","350","700","35","70","26","8","8","1050"
"breakfast_burrito","400","800","40","80","30","10","10","1200"
"bruschetta","50","100","3","15","4","1","2","150"
"bruschetta","70","140","4","21","6","1","3","210"
"bruschetta","100","200","6","30","8","2","4","300"
"bruschetta","120","240","7","36","10","2","5","360"
"bruschetta","150","300","9","45","12","3","6","450"
"caesar_salad","200","300","10","15","20","3","5","500"
"caesar_salad","250","375","13","19","25","4","6","625"
"caesar_salad","300","450","15","23","30","5","8","750"
"caesar_salad","350","525","18","26","35","6","9","875"
"caesar_salad","400","600","20","30","40","7","10","1000"
"cannoli","50","200","4","25","10","1","15","50"
"cannoli","70","280","6","35","14","1","21","70"
"cannoli","100","400","8","50","20","2","30","100"
"cannoli","120","480","10","60","24","2","36","120"
"cannoli","150","600","12","75","30","3","45","150"
"caprese_salad","150","200","8","10","15","2","5","200"
"caprese_salad","200","267","11","13","20","3","7","267"
"caprese_salad","250","333","13","17","25","4","8","333"
"caprese_salad","300","400","16","20","30","5","10","400"
"caprese_salad","350","467","19","23","35","6","12","467"
"carrot_cake","100","350","4","45","18","2","30","300"
"carrot_cake","150","525","6","68","27","3","45","450"
"carrot_cake","200","700","8","90","36","4","60","600"
"carrot_cake","250","875","10","113","45","5","75","750"
"carrot_cake","300","1050","12","135","54","6","90","900"
"ceviche","150","200","20","10","5","2","3","400"
"ceviche","200","267","27","13","7","3","4","533"
"ceviche","250","333","33","17","8","4","5","667"
"ceviche","300","400","40","20","10","5","6","800"
"ceviche","350","467","47","23","12","6","7","933"
"cheese_plate","150","450","20","5","35","0","1","600"
"cheese_plate","200","600","27","7","47","0","1","800"
"cheese_plate","250","750","33","9","58","0","2","1000"
"cheese_plate","300","900","40","10","70","0","2","1200"
"cheese_plate","350","1050","47","12","82","0","3","1400"
"cheesecake","100","350","6","30","22","1","25","250"
"cheesecake","150","525","9","45","33","2","38","375"
"cheesecake","200","700","12","60","44","2","50","500"
"cheesecake","250","875","15","75","55","3","63","625"
"cheesecake","300","1050","18","90","66","4","75","750"
"chicken_curry","200","300","20","15","15","3","5","500"
"chicken_curry","250","375","25","19","19","4","6","625"
"chicken_curry","300","450","30","23","23","5","8","750"
"chicken_curry","350","525","35","26","26","6","9","875"
"chicken_curry","400","600","40","30","30","7","10","1000"
"chicken_quesadilla","150","350","20","25","15","2","2","600"
"chicken_quesadilla","200","467","27","33","20","3","3","800"
"chicken_quesadilla","250","583","33","42","25","4","4","1000"
"chicken_quesadilla","300","700","40","50","30","5","5","1200"
"chicken_quesadilla","350","817","47","58","35","6","6","1400"
"chicken_wings","100","300","20","10","20","0","1","400"
"chicken_wings","150","450","30","15","30","0","2","600"
"chicken_wings","200","600","40","20","40","0","3","800"
"chicken_wings","250","750","50","25","50","0","4","1000"
"chicken_wings","300","900","60","30","60","0","5","1200"
"chocolate_cake","100","400","5","50","20","2","35","300"
"chocolate_cake","150","600","8","75","30","3","53","450"
"chocolate_cake","200","800","10","100","40","4","70","600"
"chocolate_cake","250","1000","13","125","50","5","88","750"
"chocolate_cake","300","1200","15","150","60","6","105","900"
"chocolate_mousse","100","300","5","25","20","2","20","100"
"chocolate_mousse","150","450","8","38","30","3","30","150"
"chocolate_mousse","200","600","10","50","40","4","40","200"
"chocolate_mousse","250","750","13","63","50","5","50","250"
"chocolate_mousse","300","900","15","75","60","6","60","300"
"churros","50","200","3","25","10","1","12","100"
"churros","70","280","4","35","14","1","17","140"
"churros","100","400","6","50","20","2","24","200"
"churros","120","480","7","60","24","2","29","240"
"churros","150","600","9","75","30","3","36","300"
"clam_chowder","200","250","10","20","12","2","5","800"
"clam_chowder","250","313","13","25","15","3","6","1000"
"clam_chowder","300","375","15","30","18","4","8","1200"
"clam_chowder","350","438","18","35","21","5","9","1400"
"clam_chowder","400","500","20","40","24","6","10","1600"
"club_sandwich","200","400","20","35","18","3","5","600"
"club_sandwich","250","500","25","44","23","4","6","750"
"club_sandwich","300","600","30","53","27","5","8","900"
"club_sandwich","350","700","35","61","32","6","9","1050"
"club_sandwich","400","800","40","70","36","7","10","1200"
"crab_cakes","100","250","15","10","15","1","2","400"
"crab_cakes","150","375","23","15","23","2","3","600"
"crab_cakes","200","500","30","20","30","3","4","800"
"crab_cakes","250","625","38","25","38","4","5","1000"
"crab_cakes","300","750","45","30","45","5","6","1200"
"creme_brulee","100","300","5","25","20","0","20","100"
"creme_brulee","150","450","8","38","30","0","30","150"
"creme_brulee","200","600","10","50","40","0","40","200"
"creme_brulee","250","750","13","63","50","0","50","250"
"creme_brulee","300","900","15","75","60","0","60","300"
"croque_madame","200","450","20","30","25","2","5","800"
"croque_madame","250","563","25","38","31","3","6","1000"
"croque_madame","300","675","30","45","38","4","8","1200"
"croque_madame","350","788","35","53","44","5","9","1400"
"croque_madame","400","900","40","60","50","6","10","1600"
"Cupcakes","50","200","3","25","10","1","15","150"
"Cupcakes","70","280","4","35","14","1","21","210"
"Cupcakes","100","400","6","50","20","2","30","300"
"Cupcakes","120","480","7","60","24","2","36","360"
"Cupcakes","150","600","9","75","30","3","45","450"
"deviled_eggs","50","100","6","1","8","0","1","120"
"deviled_eggs","70","140","8","1","11","0","1","168"
"deviled_eggs","100","200","12","2","16","0","2","240"
"deviled_eggs","120","240","14","2","19","0","2","288"
"deviled_eggs","150","300","18","3","24","0","3","360"
"donuts","50","200","3","25","10","1","12","150"
"donuts","70","280","4","35","14","1","17","210"
"donuts","100","400","6","50","20","2","24","300"
"donuts","120","480","7","60","24","2","29","360"
"donuts","150","600","9","75","30","3","36","450"
"dumplings","100","250","8","30","10","2","2","300"
"dumplings","150","375","12","45","15","3","3","450"
"dumplings","200","500","16","60","20","4","4","600"
"dumplings","250","625","20","75","25","5","5","750"
"dumplings","300","750","24","90","30","6","6","900"
"edamame","100","120","11","10","5","5","2","10"
"edamame","150","180","17","15","8","8","3","15"
"edamame","200","240","22","20","10","10","4","20"
"edamame","250","300","28","25","13","13","5","25"
"edamame","300","360","33","30","15","15","6","30"
"eggs_benedict","200","400","20","20","25","2","2","600"
"eggs_benedict","250","500","25","25","31","3","3","750"
"eggs_benedict","300","600","30","30","38","4","4","900"
"eggs_benedict","350","700","35","35","44","5","5","1050"
"eggs_benedict","400","800","40","40","50","6","6","1200"
"escargots","100","200","15","5","12","1","1","300"
"escargots","150","300","23","8","18","2","2","450"
"escargots","200","400","30","10","24","3","3","600"
"escargots","250","500","38","13","30","4","4","750"
"escargots","300","600","45","15","36","5","5","900"
"falafel","50","150","5","15","8","3","2","200"
"falafel","70","210","7","21","11","4","3","280"
"falafel","100","300","10","30","16","6","4","400"
"falafel","120","360","12","36","19","7","5","480"
"falafel","150","450","15","45","24","9","6","600"
"filet_mignon","150","375","30","0","25","0","0","100"
"filet_mignon","200","500","40","0","33","0","0","133"
"filet_mignon","250","625","50","0","42","0","0","167"
"filet_mignon","300","750","60","0","50","0","0","200"
"filet_mignon","350","875","70","0","58","0","0","233"
"Fish and Chips","200","500","20","40","25","3","2","600"
"Fish and Chips","250","625","25","50","31","4","3","750"
"Fish and Chips","300","750","30","60","38","5","4","900"
"Fish and Chips","350","875","35","70","44","6","5","1050"
"Fish and Chips","400","1000","40","80","50","7","6","1200"
"foie_gras","50","200","5","2","20","0","1","100"
"foie_gras","70","280","7","3","28","0","1","140"
"foie_gras","100","400","10","4","40","0","2","200"
"foie_gras","120","480","12","5","48","0","2","240"
"foie_gras","150","600","15","6","60","0","3","300"
"french_fries","100","300","4","35","15","3","0","200"
"french_fries","150","450","6","53","23","5","0","300"
"french_fries","200","600","8","70","30","6","0","400"
"french_fries","250","750","10","88","38","8","0","500"
"french_fries","300","900","12","105","45","9","0","600"
"french_onion_soup","200","250","10","20","12","2","5","800"
"french_onion_soup","250","313","13","25","15","3","6","1000"
"french_onion_soup","300","375","15","30","18","4","8","1200"
"french_onion_soup","350","438","18","35","21","5","9","1400"
"french_onion_soup","400","500","20","40","24","6","10","1600"
"french_toast","100","250","8","30","10","2","10","300"
"french_toast","150","375","12","45","15","3","15","450"
"french_toast","200","500","16","60","20","4","20","600"
"french_toast","250","625","20","75","25","5","25","750"
"french_toast","300","750","24","90","30","6","30","900"
"fried_calamari","100","300","15","20","15","1","1","400"
"fried_calamari","150","450","23","30","23","2","2","600"
"fried_calamari","200","600","30","40","30","3","3","800"
"fried_calamari","250","750","38","50","38","4","4","1000"
"fried_calamari","300","900","45","60","45","5","5","1200"
"fried_rice","200","300","8","50","10","2","3","400"
"fried_rice","250","375","10","63","13","3","4","500"
"fried_rice","300","450","12","75","15","4","5","600"
"fried_rice","350","525","14","88","18","5","6","700"
"fried_rice","400","600","16","100","20","6","7","800"
"frozen_yogurt","100","150","4","25","3","0","20","50"
"frozen_yogurt","150","225","6","38","5","0","30","75"
"frozen_yogurt","200","300","8","50","6","0","40","100"
"frozen_yogurt","250","375","10","63","8","0","50","125"
"frozen_yogurt","300","450","12","75","9","0","60","150"
"garlic_bread","50","150","4","20","6","1","2","200"
"garlic_bread","70","210","6","28","8","1","3","280"
"garlic_bread","100","300","8","40","12","2","4","400"
"garlic_bread","120","360","10","48","14","2","5","480"
"garlic_bread","150","450","12","60","18","3","6","600"
"gnocchi","150","250","6","40","5","2","2","300"
"gnocchi","200","333","8","53","7","3","3","400"
"gnocchi","250","417","10","67","8","4","4","500"
"gnocchi","300","500","12","80","10","5","5","600"
"gnocchi","350","583","14","93","12","6","6","700"
"greek_salad","200","250","8","15","18","4","5","400"
"greek_salad","250","313","10","19","23","5","6","500"
"greek_salad","300","375","12","23","27","6","8","600"
"greek_salad","350","438","14","26","32","7","9","700"
"greek_salad","400","500","16","30","36","8","10","800"
"Grilled Cheese","150","400","15","30","20","2","5","600"
"Grilled Cheese","200","533","20","40","27","3","7","800"
"Grilled Cheese","250","667","25","50","33","4","8","1000"
"Grilled Cheese","300","800","30","60","40","5","10","1200"
"Grilled Cheese","350","933","35","70","47","6","12","1400"
"grilled_salmon","150","300","35","0","15","0","0","100"
"grilled_salmon","200","400","47","0","20","0","0","133"
"grilled_salmon","250","500","58","0","25","0","0","167"
"grilled_salmon","300","600","70","0","30","0","0","200"
"grilled_salmon","350","700","82","0","35","0","0","233"
"guacamole","50","100","2","5","8","3","1","50"
"guacamole","70","140","3","7","11","4","1","70"
"guacamole","100","200","4","10","16","6","2","100"
"guacamole","120","240","5","12","19","7","2","120"
"guacamole","150","300","6","15","24","9","3","150"
"gyoza","100","200","8","20","8","2","2","300"
"gyoza","150","300","12","30","12","3","3","450"
"gyoza","200","400","16","40","16","4","4","600"
"gyoza","250","500","20","50","20","5","5","750"
"gyoza","300","600","24","60","24","6","6","900"
"hamburger","150","375","20","30","18","2","5","450"
"hamburger","200","500","27","40","24","3","7","600"
"hamburger","250","625","33","50","30","4","8","750"
"hamburger","300","750","40","60","36","5","10","900"
"hamburger","350","875","47","70","42","6","12","1050"
"Hot and Sour Soup","200","150","8","15","5","2","3","600"
"Hot and Sour Soup","250","188","10","19","6","3","4","750"
"Hot and Sour Soup","300","225","12","23","8","4","5","900"
"Hot and Sour Soup","350","263","14","26","9","5","6","1050"
"Hot and Sour Soup","400","300","16","30","10","6","7","1200"
"hot_dog","100","250","10","15","15","1","3","500"
"hot_dog","150","375","15","23","23","2","5","750"
"hot_dog","200","500","20","30","30","3","6","1000"
"hot_dog","250","625","25","38","38","4","8","1250"
"hot_dog","300","750","30","45","45","5","9","1500"
"huevos_rancheros","200","300","15","20","15","4","3","400"
"huevos_rancheros","250","375","19","25","19","5","4","500"
"huevos_rancheros","300","450","23","30","23","6","5","600"
"huevos_rancheros","350","525","26","35","26","7","6","700"
"huevos_rancheros","400","600","30","40","30","8","7","800"
"hummus","50","100","4","8","6","3","1","100"
"hummus","70","140","6","11","8","4","1","140"
"hummus","100","200","8","16","12","6","2","200"
"hummus","120","240","10","19","14","7","2","240"
"hummus","150","300","12","24","18","9","3","300"
"ice_cream","100","200","4","25","10","0","20","50"
"ice_cream","150","300","6","38","15","0","30","75"
"ice_cream","200","400","8","50","20","0","40","100"
"ice_cream","250","500","10","63","25","0","50","125"
"ice_cream","300","600","12","75","30","0","60","150"
"lasagna","200","400","20","40","20","4","6","600"
"lasagna","250","500","25","50","25","5","8","750"
"lasagna","300","600","30","60","30","6","10","900"
"lasagna","350","700","35","70","35","7","12","1050"
"lasagna","400","800","40","80","40","8","14","1200"
"lobster_bisque","200","250","10","15","15","2","5","500"
"lobster_bisque","250","313","13","19","19","3","6","625"
"lobster_bisque","300","375","15","23","23","4","8","750"
"lobster_bisque","350","438","18","26","26","5","9","875"
"lobster_bisque","400","500","20","30","30","6","10","1000"
"Lobster Roll","200","400","20","30","20","2","5","600"
"Lobster Roll","250","500","25","38","25","3","6","750"
"Lobster Roll","300","600","30","45","30","4","8","900"
"Lobster Roll","350","700","35","53","35","5","9","1050"
"Lobster Roll","400","800","40","60","40","6","10","1200"
"Macaroni and Cheese","200","400","12","50","18","2","6","600"
"Macaroni and Cheese","250","500","15","63","23","3","8","750"
"Macaroni and Cheese","300","600","18","75","27","4","10","900"
"Macaroni and Cheese","350","700","21","88","32","5","12","1050"
"Macaroni and Cheese","400","800","24","100","36","6","14","1200"
"macarons","50","200","3","25","10","1","20","50"
"macarons","70","280","4","35","14","1","28","70"
"macarons","100","400","6","50","20","2","40","100"
"macarons","120","480","7","60","24","2","48","120"
"macarons","150","600","9","75","30","3","60","150"
"miso_soup","200","100","6","10","3","2","2","800"
"miso_soup","250","125","8","13","4","3","3","1000"
"miso_soup","300","150","9","15","5","4","4","1200"
"miso_soup","350","175","11","18","6","5","5","1400"
"miso_soup","400","200","12","20","7","6","6","1600"
"mussels","150","200","25","5","8","0","1","400"
"mussels","200","267","33","7","11","0","1","533"
"mussels","250","333","42","8","13","0","2","667"
"mussels","300","400","50","10","16","0","2","800"
"mussels","350","467","58","12","19","0","3","933"
"nachos","200","500","10","50","25","4","5","600"
"nachos","250","625","13","63","31","5","6","750"
"nachos","300","750","15","75","38","6","8","900"
"nachos","350","875","18","88","44","7","9","1050"
"nachos","400","1000","20","100","50","8","10","1200"
"omelette","150","250","15","2","18","0","1","300"
"omelette","200","333","20","3","24","0","1","400"
"omelette","250","417","25","4","30","0","2","500"
"omelette","300","500","30","5","36","0","2","600"
"omelette","350","583","35","6","42","0","3","700"
"onion_rings","100","300","4","35","15","2","5","200"
"onion_rings","150","450","6","53","23","3","8","300"
"onion_rings","200","600","8","70","30","4","10","400"
"onion_rings","250","750","10","88","38","5","13","500"
"onion_rings","300","900","12","105","45","6","15","600"
"oysters","100","100","10","5","3","0","1","200"
"oysters","150","150","15","8","5","0","2","300"
"oysters","200","200","20","10","6","0","2","400"
"oysters","250","250","25","13","8","0","3","500"
"oysters","300","300","30","15","10","0","4","600"
"pad_thai","200","400","15","60","12","4","10","600"
"pad_thai","250","500","19","75","15","5","13","750"
"pad_thai","300","600","23","90","18","6","15","900"
"pad_thai","350","700","26","105","21","7","18","1050"
"pad_thai","400","800","30","120","24","8","20","1200"
"paella","200","350","20","40","10","3","5","500"
"paella","250","438","25","50","13","4","6","625"
"paella","300","525","30","60","15","5","8","750"
"paella","350","613","35","70","18","6","9","875"
"paella","400","700","40","80","20","7","10","1000"
"pancakes","100","250","6","35","8","2","10","300"
"pancakes","150","375","9","53","12","3","15","450"
"pancakes","200","500","12","70","16","4","20","600"
"pancakes","250","625","15","88","20","5","25","750"
"pancakes","300","750","18","105","24","6","30","900"
"panna_cotta","100","300","5","25","20","0","20","50"
"panna_cotta","150","450","8","38","30","0","30","75"
"panna_cotta","200","600","10","50","40","0","40","100"
"panna_cotta","250","750","13","63","50","0","50","125"
"panna_cotta","300","900","15","75","60","0","60","150"
"peking_duck","150","400","30","10","25","0","5","500"
"peking_duck","200","533","40","13","33","0","7","667"
"peking_duck","250","667","50","17","42","0","8","833"
"peking_duck","300","800","60","20","50","0","10","1000"
"peking_duck","350","933","70","23","58","0","12","1167"
"pho","300","350","20","50","8","3","5","800"
"pho","350","408","23","58","9","4","6","933"
"pho","400","467","27","67","10","5","7","1067"
"pho","450","525","30","75","11","6","8","1200"
"pho","500","583","33","83","12","7","9","1333"
"pizza","200","500","20","60","20","4","5","800"
"pizza","250","625","25","75","25","5","6","1000"
"pizza","300","750","30","90","30","6","8","1200"
"pizza","350","875","35","105","35","7","9","1400"
"pizza","400","1000","40","120","40","8","10","1600"
"pork_chop","150","350","30","0","22","0","0","400"
"pork_chop","200","467","40","0","29","0","0","533"
"pork_chop","250","583","50","0","36","0","0","667"
"pork_chop","300","700","60","0","43","0","0","800"
"pork_chop","350","817","70","0","50","0","0","933"
"poutine","200","500","10","50","25","3","2","600"
"poutine","250","625","13","63","31","4","3","750"
"poutine","300","750","15","75","38","5","4","900"
"poutine","350","875","18","88","44","6","5","1050"
"poutine","400","1000","20","100","50","7","6","1200"
"prime_rib","200","600","40","0","45","0","0","500"
"prime_rib","250","750","50","0","56","0","0","625"
"prime_rib","300","900","60","0","68","0","0","750"
"prime_rib","350","1050","70","0","79","0","0","875"
"prime_rib","400","1200","80","0","90","0","0","1000"
"pulled_pork_sandwich","200","400","20","40","15","3","10","600"
"pulled_pork_sandwich","250","500","25","50","19","4","13","750"
"pulled_pork_sandwich","300","600","30","60","23","5","15","900"
"pulled_pork_sandwich","350","700","35","70","27","6","18","1050"
"pulled_pork_sandwich","400","800","40","80","30","7","20","1200"
"ramen","300","400","15","60","10","4","5","800"
"ramen","350","467","18","70","12","5","6","933"
"ramen","400","533","20","80","13","6","7","1067"
"ramen","450","600","23","90","15","7","8","1200"
"ramen","500","667","25","100","17","8","9","1333"
"ravioli","200","300","12","40","10","3","4","500"
"ravioli","250","375","15","50","13","4","5","625"
"ravioli","300","450","18","60","15","5","6","750"
"ravioli","350","525","21","70","18","6","7","875"
"ravioli","400","600","24","80","20","7","8","1000"
"red_velvet_cake","100","350","5","45","18","2","30","300"
"red_velvet_cake","150","525","8","68","27","3","45","450"
"red_velvet_cake","200","700","10","90","36","4","60","600"
"red_velvet_cake","250","875","13","113","45","5","75","750"
"red_velvet_cake","300","1050","15","135","54","6","90","900"
"risotto","200","300","8","50","8","2","3","400"
"risotto","250","375","10","63","10","3","4","500"
"risotto","300","450","12","75","12","4","5","600"
"risotto","350","525","14","88","14","5","6","700"
"risotto","400","600","16","100","16","6","7","800"
"samosa","50","150","3","20","6","2","2","200"
"samosa","70","210","4","28","8","3","3","280"
"samosa","100","300","6","40","12","4","4","400"
"samosa","120","360","7","48","14","5","5","480"
"samosa","150","450","9","60","18","6","6","600"
"sashimi","100","150","25","0","5","0","0","100"
"sashimi","150","225","38","0","8","0","0","150"
"sashimi","200","300","50","0","10","0","0","200"
"sashimi","250","375","63","0","13","0","0","250"
"sashimi","300","450","75","0","15","0","0","300"
"scallops","100","120","20","2","3","0","0","200"
"scallops","150","180","30","3","5","0","0","300"
"scallops","200","240","40","4","6","0","0","400"
"scallops","250","300","50","5","8","0","0","500"
"scallops","300","360","60","6","9","0","0","600"
"seaweed_salad","100","50","2","8","1","3","2","300"
"seaweed_salad","150","75","3","12","2","5","3","450"
"seaweed_salad","200","100","4","16","3","6","4","600"
"seaweed_salad","250","125","5","20","4","8","5","750"
"seaweed_salad","300","150","6","24","5","9","6","900"
"Shrimp and Grits","200","300","20","30","10","2","3","500"
"Shrimp and Grits","250","375","25","38","13","3","4","625"
"Shrimp and Grits","300","450","30","45","15","4","5","750"
"Shrimp and Grits","350","525","35","53","18","5","6","875"
"Shrimp and Grits","400","600","40","60","20","6","7","1000"
"spaghetti_bolognese","200","350","15","40","12","3","5","400"
"spaghetti_bolognese","250","438","19","50","15","4","6","500"
"spaghetti_bolognese","300","525","23","60","18","5","8","600"
"spaghetti_bolognese","350","613","26","70","21","6","9","700"
"spaghetti_bolognese","400","700","30","80","24","7","10","800"
"spaghetti_carbonara","200","400","15","45","18","2","4","500"
"spaghetti_carbonara","250","500","19","56","23","3","5","625"
"spaghetti_carbonara","300","600","23","68","27","4","6","750"
"spaghetti_carbonara","350","700","26","79","32","5","7","875"
"spaghetti_carbonara","400","800","30","90","36","6","8","1000"
"spring_rolls","50","100","3","15","4","1","2","150"
"spring_rolls","70","140","4","21","6","1","3","210"
"spring_rolls","100","200","6","30","8","2","4","300"
"spring_rolls","120","240","7","36","10","2","5","360"
"spring_rolls","150","300","9","45","12","3","6","450"
"steak","150","375","35","0","25","0","0","100"
"steak","200","500","47","0","33","0","0","133"
"steak","250","625","58","0","42","0","0","167"
"steak","300","750","70","0","50","0","0","200"
"steak","350","875","82","0","58","0","0","233"
"strawberry_shortcake","100","300","4","40","12","2","25","200"
"strawberry_shortcake","150","450","6","60","18","3","38","300"
"strawberry_shortcake","200","600","8","80","24","4","50","400"
"strawberry_shortcake","250","750","10","100","30","5","63","500"
"strawberry_shortcake","300","900","12","120","36","6","75","600"
"sushi","100","200","8","30","2","1","5","300"
"sushi","150","300","12","45","3","2","8","450"
"sushi","200","400","16","60","4","3","10","600"
"sushi","250","500","20","75","5","4","13","750"
"sushi","300","600","24","90","6","5","15","900"
"tacos","100","250","10","20","12","3","2","300"
"tacos","150","375","15","30","18","5","3","450"
"tacos","200","500","20","40","24","6","4","600"
"tacos","250","625","25","50","30","8","5","750"
"tacos","300","750","30","60","36","9","6","900"
"takoyaki","100","200","8","25","8","1","5","300"
"takoyaki","150","300","12","38","12","2","8","450"
"takoyaki","200","400","16","50","16","3","10","600"
"takoyaki","250","500","20","63","20","4","13","750"
"takoyaki","300","600","24","75","24","5","15","900"
"tiramisu","100","300","6","30","15","1","20","100"
"tiramisu","150","450","9","45","23","2","30","150"
"tiramisu","200","600","12","60","30","3","40","200"
"tiramisu","250","750","15","75","38","4","50","250"
"tiramisu","300","900","18","90","45","5","60","300"
"tuna_tartare","100","150","20","2","5","0","1","200"
"tuna_tartare","150","225","30","3","8","0","2","300"
"tuna_tartare","200","300","40","4","10","0","3","400"
"tuna_tartare","250","375","50","5","13","0","4","500"
"tuna_tartare","300","450","60","6","15","0","5","600"
"waffles","100","300","6","40","12","2","10","300"
"waffles","150","450","9","60","18","3","15","450"
"waffles","200","600","12","80","24","4","20","600"
"waffles","250","750","15","100","30","5","25","750"
"waffles","300","900","18","120","36","6","30","900"
